-                   	data                	identity            	time                
113                 	104360              	114                 	2021-12-22 12:45:24.549000
114                 	100933              	115                 	2021-12-22 12:45:24.549000
115                 	100867              	116                 	2021-12-22 12:45:24.564000
116                 	100920              	117                 	2021-12-22 12:45:24.564000
117                 	113660              	118                 	2021-12-22 12:45:24.564000
118                 	100933              	119                 	2021-12-22 12:45:24.564000
119                 	100946              	120                 	2021-12-22 12:45:24.564000
120                 	105592              	121                 	2021-12-22 12:45:24.564000
121                 	107362              	122                 	2021-12-22 12:45:24.564000
122                 	105048              	123                 	2021-12-22 12:45:24.564000
123                 	109793              	124                 	2021-12-22 12:45:24.564000
124                 	100887              	125                 	2021-12-22 12:45:24.564000
125                 	100933              	126                 	2021-12-22 12:45:24.564000
126                 	108732              	127                 	2021-12-22 12:45:24.580000
127                 	100887              	128                 	2021-12-22 12:45:24.580000
128                 	106536              	129                 	2021-12-22 12:45:24.580000
129                 	100959              	130                 	2021-12-22 12:45:24.580000
130                 	109413              	131                 	2021-12-22 12:45:24.580000
131                 	106851              	132                 	2021-12-22 12:45:24.580000
132                 	110029              	133                 	2021-12-22 12:45:24.580000
133                 	108869              	134                 	2021-12-22 12:45:24.580000
134                 	100907              	135                 	2021-12-22 12:45:24.580000
135                 	107349              	136                 	2021-12-22 12:45:24.596000
136                 	111078              	137                 	2021-12-22 12:45:24.596000
137                 	106720              	138                 	2021-12-22 12:45:24.596000
138                 	100894              	139                 	2021-12-22 12:45:24.596000
139                 	118136              	140                 	2021-12-22 12:45:24.596000
140                 	107748              	141                 	2021-12-22 12:45:24.596000
141                 	109728              	142                 	2021-12-22 12:45:24.596000
142                 	105612              	143                 	2021-12-22 12:45:24.596000
143                 	107060              	144                 	2021-12-22 12:45:24.596000
144                 	109918              	145                 	2021-12-22 12:45:24.596000
145                 	106516              	146                 	2021-12-22 12:45:24.611000
146                 	105042              	147                 	2021-12-22 12:45:24.611000
147                 	100920              	148                 	2021-12-22 12:45:24.611000
148                 	100894              	149                 	2021-12-22 12:45:24.611000
149                 	109505              	150                 	2021-12-22 12:45:24.611000
150                 	107486              	151                 	2021-12-22 12:45:24.611000
151                 	119813              	152                 	2021-12-22 12:45:24.611000
152                 	108306              	153                 	2021-12-22 12:45:24.611000
153                 	100874              	154                 	2021-12-22 12:45:24.611000
154                 	109682              	155                 	2021-12-22 12:45:24.627000
155                 	100959              	156                 	2021-12-22 12:45:24.627000
156                 	100920              	157                 	2021-12-22 12:45:24.627000
157                 	106385              	158                 	2021-12-22 12:45:24.627000
158                 	100946              	159                 	2021-12-22 12:45:24.627000
159                 	108115              	160                 	2021-12-22 12:45:24.627000
160                 	109151              	161                 	2021-12-22 12:45:24.627000
161                 	101634              	162                 	2021-12-22 12:45:24.627000
162                 	100887              	163                 	2021-12-22 12:45:24.627000
163                 	122808              	164                 	2021-12-22 12:45:24.627000
164                 	114525              	165                 	2021-12-22 12:45:24.643000
165                 	108535              	166                 	2021-12-22 12:45:24.643000
166                 	105127              	167                 	2021-12-22 12:45:24.643000
167                 	100939              	168                 	2021-12-22 12:45:24.643000
168                 	100959              	169                 	2021-12-22 12:45:24.643000
169                 	100979              	170                 	2021-12-22 12:45:24.643000
170                 	106110              	171                 	2021-12-22 12:45:24.643000
171                 	110219              	172                 	2021-12-22 12:45:24.643000
172                 	117526              	173                 	2021-12-22 12:45:24.643000
173                 	100933              	174                 	2021-12-22 12:45:24.658000
174                 	100900              	175                 	2021-12-22 12:45:24.658000
175                 	115809              	176                 	2021-12-22 12:45:24.658000
176                 	105691              	177                 	2021-12-22 12:45:24.658000
177                 	117421              	178                 	2021-12-22 12:45:24.658000
178                 	100920              	179                 	2021-12-22 12:45:24.658000
179                 	100959              	180                 	2021-12-22 12:45:24.658000
180                 	100933              	181                 	2021-12-22 12:45:24.658000
181                 	103227              	182                 	2021-12-22 12:45:24.658000
182                 	100900              	183                 	2021-12-22 12:45:24.674000
183                 	100900              	184                 	2021-12-22 12:45:24.674000
184                 	100913              	185                 	2021-12-22 12:45:24.674000
185                 	100913              	186                 	2021-12-22 12:45:24.674000
186                 	101070              	187                 	2021-12-22 12:45:24.674000
187                 	100920              	188                 	2021-12-22 12:45:24.674000
188                 	100900              	189                 	2021-12-22 12:45:24.674000
189                 	103718              	190                 	2021-12-22 12:45:24.674000
190                 	100861              	191                 	2021-12-22 12:45:24.674000
191                 	101018              	192                 	2021-12-22 12:45:24.689000
192                 	103404              	193                 	2021-12-22 12:45:24.689000
193                 	100900              	194                 	2021-12-22 12:45:24.689000
194                 	100926              	195                 	2021-12-22 12:45:24.689000
195                 	113201              	196                 	2021-12-22 12:45:24.689000
196                 	100867              	197                 	2021-12-22 12:45:24.689000
197                 	100933              	198                 	2021-12-22 12:45:24.689000
198                 	100946              	199                 	2021-12-22 12:45:24.689000
199                 	104898              	200                 	2021-12-22 12:45:24.689000
200                 	108594              	201                 	2021-12-22 12:45:24.689000
201                 	109302              	202                 	2021-12-22 12:45:24.705000
202                 	107008              	203                 	2021-12-22 12:45:24.705000
203                 	110625              	204                 	2021-12-22 12:45:24.705000
204                 	100959              	205                 	2021-12-22 12:45:24.705000
205                 	100913              	206                 	2021-12-22 12:45:24.705000
206                 	100952              	207                 	2021-12-22 12:45:24.705000
207                 	100920              	208                 	2021-12-22 12:45:24.705000
208                 	100861              	209                 	2021-12-22 12:45:24.705000
209                 	100874              	210                 	2021-12-22 12:45:24.705000
210                 	108240              	211                 	2021-12-22 12:45:24.705000
211                 	101018              	212                 	2021-12-22 12:45:24.721000
212                 	105055              	213                 	2021-12-22 12:45:24.721000
213                 	100900              	214                 	2021-12-22 12:45:24.721000
214                 	100874              	215                 	2021-12-22 12:45:24.721000
215                 	100841              	216                 	2021-12-22 12:45:24.721000
216                 	100939              	217                 	2021-12-22 12:45:24.721000
217                 	117749              	218                 	2021-12-22 12:45:24.721000
218                 	104839              	219                 	2021-12-22 12:45:24.721000
219                 	106556              	220                 	2021-12-22 12:45:24.721000
220                 	105055              	221                 	2021-12-22 12:45:24.721000
221                 	113352              	222                 	2021-12-22 12:45:24.736000
222                 	101038              	223                 	2021-12-22 12:45:24.736000
223                 	100900              	224                 	2021-12-22 12:45:24.736000
224                 	106543              	225                 	2021-12-22 12:45:24.736000
225                 	100900              	226                 	2021-12-22 12:45:24.736000
226                 	122310              	227                 	2021-12-22 12:45:24.736000
227                 	100933              	228                 	2021-12-22 12:45:24.736000
228                 	100900              	229                 	2021-12-22 12:45:24.736000
229                 	105003              	230                 	2021-12-22 12:45:24.752000
230                 	100894              	231                 	2021-12-22 12:45:24.752000
231                 	101883              	232                 	2021-12-22 12:45:24.752000
232                 	100894              	233                 	2021-12-22 12:45:24.752000
233                 	100946              	234                 	2021-12-22 12:45:24.752000
234                 	100933              	235                 	2021-12-22 12:45:24.752000
235                 	100933              	236                 	2021-12-22 12:45:24.752000
236                 	110429              	237                 	2021-12-22 12:45:24.752000
237                 	107231              	238                 	2021-12-22 12:45:24.752000
238                 	100920              	239                 	2021-12-22 12:45:24.752000
239                 	111425              	240                 	2021-12-22 12:45:24.752000
240                 	100874              	241                 	2021-12-22 12:45:24.768000
241                 	100920              	242                 	2021-12-22 12:45:24.768000
242                 	109367              	243                 	2021-12-22 12:45:24.768000
243                 	107617              	244                 	2021-12-22 12:45:24.768000
244                 	118267              	245                 	2021-12-22 12:45:24.768000
245                 	105474              	246                 	2021-12-22 12:45:24.768000
246                 	100939              	247                 	2021-12-22 12:45:24.768000
247                 	100894              	248                 	2021-12-22 12:45:24.768000
248                 	105422              	249                 	2021-12-22 12:45:24.768000
249                 	101542              	250                 	2021-12-22 12:45:24.783000
250                 	109131              	251                 	2021-12-22 12:45:24.783000
251                 	109688              	252                 	2021-12-22 12:45:24.783000
252                 	109426              	253                 	2021-12-22 12:45:24.783000
253                 	105579              	254                 	2021-12-22 12:45:24.783000
254                 	100861              	255                 	2021-12-22 12:45:24.783000
255                 	105232              	256                 	2021-12-22 12:45:24.783000
256                 	100900              	257                 	2021-12-22 12:45:24.783000
257                 	119374              	258                 	2021-12-22 12:45:24.783000
258                 	100926              	259                 	2021-12-22 12:45:24.783000
259                 	122546              	260                 	2021-12-22 12:45:24.783000
260                 	100933              	261                 	2021-12-22 12:45:24.799000
261                 	100946              	262                 	2021-12-22 12:45:24.799000
262                 	100959              	263                 	2021-12-22 12:45:24.799000
263                 	100913              	264                 	2021-12-22 12:45:24.799000
264                 	101005              	265                 	2021-12-22 12:45:24.799000
265                 	106254              	266                 	2021-12-22 12:45:24.799000
266                 	100926              	267                 	2021-12-22 12:45:24.799000
267                 	109341              	268                 	2021-12-22 12:45:24.799000
268                 	100920              	269                 	2021-12-22 12:45:24.799000
269                 	100926              	270                 	2021-12-22 12:45:24.814000
270                 	108666              	271                 	2021-12-22 12:45:24.814000
271                 	100946              	272                 	2021-12-22 12:45:24.814000
272                 	106503              	273                 	2021-12-22 12:45:24.814000
273                 	109452              	274                 	2021-12-22 12:45:24.814000
274                 	106320              	275                 	2021-12-22 12:45:24.814000
275                 	101896              	276                 	2021-12-22 12:45:24.814000
276                 	107165              	277                 	2021-12-22 12:45:24.814000
277                 	105769              	278                 	2021-12-22 12:45:24.814000
278                 	118889              	279                 	2021-12-22 12:45:24.814000
279                 	110344              	280                 	2021-12-22 12:45:24.830000
280                 	112257              	281                 	2021-12-22 12:45:24.830000
281                 	100985              	282                 	2021-12-22 12:45:24.830000
282                 	108227              	283                 	2021-12-22 12:45:24.830000
283                 	107480              	284                 	2021-12-22 12:45:24.830000
284                 	100939              	285                 	2021-12-22 12:45:24.830000
285                 	109774              	286                 	2021-12-22 12:45:24.830000
286                 	110501              	287                 	2021-12-22 12:45:24.830000
287                 	109465              	288                 	2021-12-22 12:45:24.830000
288                 	100913              	289                 	2021-12-22 12:45:24.846000
289                 	100900              	290                 	2021-12-22 12:45:24.846000
290                 	109793              	291                 	2021-12-22 12:45:24.846000
291                 	106438              	292                 	2021-12-22 12:45:24.846000
292                 	110016              	293                 	2021-12-22 12:45:24.846000
293                 	100900              	294                 	2021-12-22 12:45:24.846000
294                 	100900              	295                 	2021-12-22 12:45:24.846000
295                 	100874              	296                 	2021-12-22 12:45:24.846000
296                 	106280              	297                 	2021-12-22 12:45:24.846000
297                 	100894              	298                 	2021-12-22 12:45:24.846000
298                 	109223              	299                 	2021-12-22 12:45:24.861000
299                 	105979              	300                 	2021-12-22 12:45:24.861000
300                 	100913              	301                 	2021-12-22 12:45:24.861000
301                 	111412              	302                 	2021-12-22 12:45:24.861000
302                 	106929              	303                 	2021-12-22 12:45:24.861000
303                 	120679              	304                 	2021-12-22 12:45:24.861000
304                 	100913              	305                 	2021-12-22 12:45:24.861000
305                 	109472              	306                 	2021-12-22 12:45:24.861000
306                 	105560              	307                 	2021-12-22 12:45:24.861000
307                 	107401              	308                 	2021-12-22 12:45:24.861000
308                 	100933              	309                 	2021-12-22 12:45:24.877000
309                 	100907              	310                 	2021-12-22 12:45:24.877000
310                 	102257              	311                 	2021-12-22 12:45:24.877000
311                 	100907              	312                 	2021-12-22 12:45:24.877000
312                 	100913              	313                 	2021-12-22 12:45:24.877000
313                 	100874              	314                 	2021-12-22 12:45:24.877000
314                 	110527              	315                 	2021-12-22 12:45:24.877000
315                 	100900              	316                 	2021-12-22 12:45:24.877000
316                 	100900              	317                 	2021-12-22 12:45:24.877000
317                 	100939              	318                 	2021-12-22 12:45:24.877000
318                 	100972              	319                 	2021-12-22 12:45:24.893000
319                 	101038              	320                 	2021-12-22 12:45:24.893000
320                 	107657              	321                 	2021-12-22 12:45:24.893000
321                 	100933              	322                 	2021-12-22 12:45:24.893000
322                 	100933              	323                 	2021-12-22 12:45:24.893000
323                 	100920              	324                 	2021-12-22 12:45:24.893000
324                 	101018              	325                 	2021-12-22 12:45:24.893000
325                 	109669              	326                 	2021-12-22 12:45:24.893000
326                 	100926              	327                 	2021-12-22 12:45:24.893000
327                 	100926              	328                 	2021-12-22 12:45:24.908000
328                 	100959              	329                 	2021-12-22 12:45:24.908000
329                 	100907              	330                 	2021-12-22 12:45:24.908000
330                 	104924              	331                 	2021-12-22 12:45:24.908000
331                 	100894              	332                 	2021-12-22 12:45:24.908000
332                 	104891              	333                 	2021-12-22 12:45:24.908000
333                 	100979              	334                 	2021-12-22 12:45:24.908000
334                 	115298              	335                 	2021-12-22 12:45:24.908000
335                 	110016              	336                 	2021-12-22 12:45:24.908000
336                 	100907              	337                 	2021-12-22 12:45:24.908000
337                 	100867              	338                 	2021-12-22 12:45:24.924000
338                 	100907              	339                 	2021-12-22 12:45:24.924000
339                 	109623              	340                 	2021-12-22 12:45:24.924000
340                 	105671              	341                 	2021-12-22 12:45:24.924000
341                 	106772              	342                 	2021-12-22 12:45:24.924000
342                 	100913              	343                 	2021-12-22 12:45:24.924000
343                 	107722              	344                 	2021-12-22 12:45:24.924000
344                 	105828              	345                 	2021-12-22 12:45:24.924000
345                 	106084              	346                 	2021-12-22 12:45:24.924000
346                 	100933              	347                 	2021-12-22 12:45:24.939000
347                 	109767              	348                 	2021-12-22 12:45:24.939000
348                 	100880              	349                 	2021-12-22 12:45:24.939000
349                 	100907              	350                 	2021-12-22 12:45:24.939000
350                 	110147              	351                 	2021-12-22 12:45:24.939000
351                 	101831              	352                 	2021-12-22 12:45:24.939000
352                 	100979              	353                 	2021-12-22 12:45:24.939000
353                 	100900              	354                 	2021-12-22 12:45:24.939000
354                 	109832              	355                 	2021-12-22 12:45:24.939000
355                 	100894              	356                 	2021-12-22 12:45:24.939000
356                 	105258              	357                 	2021-12-22 12:45:24.955000
357                 	100952              	358                 	2021-12-22 12:45:24.955000
358                 	112008              	359                 	2021-12-22 12:45:24.955000
359                 	100920              	360                 	2021-12-22 12:45:24.955000
360                 	100939              	361                 	2021-12-22 12:45:24.955000
361                 	109433              	362                 	2021-12-22 12:45:24.955000
362                 	105514              	363                 	2021-12-22 12:45:24.955000
363                 	100926              	364                 	2021-12-22 12:45:24.955000
364                 	105042              	365                 	2021-12-22 12:45:24.971000
365                 	106575              	366                 	2021-12-22 12:45:24.971000
366                 	100985              	367                 	2021-12-22 12:45:24.971000
367                 	100946              	368                 	2021-12-22 12:45:24.971000
368                 	100880              	369                 	2021-12-22 12:45:24.971000
369                 	104891              	370                 	2021-12-22 12:45:24.971000
370                 	100907              	371                 	2021-12-22 12:45:24.971000
371                 	124362              	372                 	2021-12-22 12:45:24.971000
372                 	100880              	373                 	2021-12-22 12:45:24.971000
373                 	100900              	374                 	2021-12-22 12:45:24.971000
374                 	100861              	375                 	2021-12-22 12:45:24.971000
375                 	100913              	376                 	2021-12-22 12:45:24.986000
376                 	100952              	377                 	2021-12-22 12:45:24.986000
377                 	100946              	378                 	2021-12-22 12:45:24.986000
378                 	109990              	379                 	2021-12-22 12:45:24.986000
379                 	100952              	380                 	2021-12-22 12:45:24.986000
380                 	106090              	381                 	2021-12-22 12:45:24.986000
381                 	106916              	382                 	2021-12-22 12:45:24.986000
382                 	105225              	383                 	2021-12-22 12:45:24.986000
383                 	104865              	384                 	2021-12-22 12:45:24.986000
384                 	108410              	385                 	2021-12-22 12:45:25.002000
